Symbol,Name,Exchange,Sector,Industry,SCTR,Universe,Close,Volume,Market Cap
AAPL,"Apple, Inc.",NASD,Technology,Computer Hardware,76.9,lrg,155.35,65086629,2514339.75
MSFT,Microsoft Corp.,NASD,Technology,Software,41.7,lrg,264.84,22403079,1980738.375
GOOGL,Alphabet Inc.,NASD,Communication Services,Internet,31.2,lrg,114.34,32675647,1505857.75
AMZN,"Amazon.com, Inc.",NASD,Consumer Discretionary,Broadline Retailers,39.8,lrg,124.63,60238942,1267985.625
TSLA,Tesla Inc.,NASD,Consumer Discretionary,Automobiles,62.3,lrg,815.12,47343885,844464.312
BRK/B,"Berkshire Hathaway, Inc.",NYSE,Financial,Reinsurance,49.9,lrg,286.85,3700232,632791.125
META,"Meta Platforms, Inc.",NASD,Communication Services,Internet,7.7,lrg,183.17,27195254,495841.188
UNH,"Unitedhealth Group, Inc.",NYSE,Health Care,Health Care Providers,92,lrg,522.46,2667760,490067.5
NVDA,NVIDIA Corp.,NASD,Technology,Semiconductors,24.8,lrg,180.5,55704826,451250
JNJ,Johnson & Johnson,NYSE,Health Care,Pharmaceuticals,66.2,lrg,171.31,5729213,450716.594
V,Visa Inc.,NYSE,Technology,Computer Services,82,lrg,216.19,4801156,450323.781
XOM,Exxon Mobil Corp.,NYSE,Energy,Integrated Oil & Gas,93.8,lrg,87.75,21375663,369690.75
WMT,Walmart Inc.,NYSE,Consumer Staples,Personal Products,67.7,lrg,132.55,6254831,363319.562
JPM,J.P. Morgan Chase & Co.,NYSE,Financial,Banks,15.8,lrg,115.32,11595860,338694.844
PG,Procter & Gamble Co.,NYSE,Consumer Staples,Personal Products,34.3,lrg,140.77,8310200,337707.25
MA,Mastercard,NYSE,Technology,Computer Services,72.7,lrg,346.92,2230803,337553.188
HD,"Home Depot, Inc.",NYSE,Consumer Discretionary,Home Improvement Retailers,62.9,lrg,305,1965036,313540
LLY,Eli Lilly & Co.,NYSE,Health Care,Pharmaceuticals,98.6,lrg,326.92,1692103,310574
PFE,"Pfizer, Inc.",NYSE,Health Care,Pharmaceuticals,67.5,lrg,51.12,15103520,286834.312
CVX,Chevron Corp.,NYSE,Energy,Integrated Oil & Gas,82.4,lrg,145.4,6724232,285711
BAC,Bank Of America Corp.,NYSE,Financial,Banks,15.2,lrg,33.65,31243966,271118.062
KO,Coca Cola Co.,NYSE,Consumer Staples,Soft Drinks,69.6,lrg,61.36,11959116,265995.594
ABBV,AbbVie Inc.,NYSE,Health Care,Biotechnology,85.8,lrg,147.75,4066836,261074.25
COST,Costco Wholesale Corp.,NASD,Consumer Staples,Personal Products,92.8,lrg,529.46,1716080,234550.797
PEP,"Pepsico, Inc.",NASD,Consumer Staples,Soft Drinks,70.2,lrg,168.51,3088308,233049.328
MRK,"Merck & Co., Inc.",NYSE,Health Care,Pharmaceuticals,87.7,lrg,90.14,8197204,227964.062
TMO,Thermo Fisher Scientific Inc.,NYSE,Health Care,Medical Equipment,80.4,lrg,575,2150269,224825
AVGO,Broadcom Inc.,NASD,Technology,Semiconductors,59,lrg,517.68,1391145,209142.719
DHR,Danaher Corp.,NYSE,Health Care,Medical Equipment,84.6,lrg,279.23,4175866,203000.219
VZ,Verizon Communications,NYSE,Communication Services,Fixed Telecommunications,26.3,lrg,47.66,32320941,200172
ORCL,Oracle Corp.,NYSE,Technology,Software,64.9,lrg,74.54,7005108,198649.109
ABT,Abbott Laboratories,NYSE,Health Care,Pharmaceuticals,46,lrg,110.69,5698031,193818.188
ADBE,"Adobe Systems, Inc.",NASD,Technology,Software,30.9,lrg,408.91,2009844,191369.875
DIS,Walt Disney Co.,NYSE,Communication Services,Entertainment,12.8,lrg,104.18,8611116,189711.781
CMCSA,Comcast Corp.,NASD,Communication Services,Entertainment,41.4,lrg,42.27,19527110,189369.609
MCD,McDonalds Corp.,NYSE,Consumer Discretionary,Restaurants & Bars,76.2,lrg,253.47,2056470,187567.797
CSCO,"Cisco Systems, Inc.",NASD,Technology,Telecom Equipment,20.6,lrg,44.58,15364579,184605.781
CRM,"Salesforce.com, Inc.",NYSE,Technology,Software,41.1,lrg,185.35,3885788,184423.25
ACN,Accenture Ltd.,NYSE,Technology,Software,32.5,lrg,288.01,1546769,182310.344
NKE,Nike Inc.,NYSE,Consumer Discretionary,Footwear,20.1,lrg,111.62,4291347,175689.891
QCOM,QUALCOMM Inc.,NASD,Technology,Semiconductors,90.9,lrg,155.86,8060330,174563.203
TMUS,"T-Mobile US, Inc.",NASD,Communication Services,Mobile Telecommunications,93.1,lrg,133.19,6467900,167020.266
INTC,Intel Corp.,NASD,Technology,Semiconductors,25.5,lrg,40.61,29660895,166054.297
WFC,Wells Fargo & Co.,NYSE,Financial,Banks,39.1,lrg,43.28,17808953,164031.203
UPS,"United Parcel Service, Inc.",NYSE,Industrial,Delivery Services,63.7,lrg,187.01,2320203,163446.734
BMY,Bristol Myers Squibb Co.,NYSE,Health Care,Pharmaceuticals,81.5,lrg,73.04,7238890,155502.156
NEE,NextEra Energy Inc.,NYSE,Utilities,Conventional Electricity,66.8,lrg,78.87,7847604,154979.562
TXN,"Texas Instruments, Inc.",NASD,Technology,Semiconductors,72,lrg,166.54,5466738,153549.875
AMD,"Advanced Micro Devices, Inc.",NASD,Technology,Semiconductors,25,lrg,91.09,90449338,147656.891
MS,Morgan Stanley,NYSE,Financial,Investment Services,52.6,lrg,83.02,9053183,145201.969
PM,Philip Morris Intl Inc.,NYSE,Consumer Staples,Tobacco,43.4,lrg,93.59,6650583,145064.5
LIN,Linde plc,NYSE,Materials,Commodity Chemicals,34.5,lrg,287.03,1544780,144376.094
RTX,Raytheon Technologies Corp.,NYSE,Industrial,Aerospace,82.2,lrg,94.89,3124673,141101.422
T,"AT&T, Inc.",NYSE,Communication Services,Fixed Telecommunications,35.9,lrg,18.92,123408724,135448.281
UNP,Union Pacific Corp.,NYSE,Industrial,Railroad,32.4,lrg,211.9,4130969,133073.203
AMGN,"Amgen, Inc.",NASD,Health Care,Biotechnology,82.3,lrg,245.78,2009519,131246.516
SPGI,S&P Global Inc.,NYSE,Financial,Specialty Finance,52.2,lrg,361.62,1794664,125482.141
LOW,"Lowes Companies, Inc.",NYSE,Consumer Discretionary,Home Improvement Retailers,55.7,lrg,193.56,3266101,123684.836
INTU,"Intuit, Inc.",NASD,Technology,Software,48,lrg,434.7,2076372,123020.102
HON,"Honeywell International, Inc.",NASD,Industrial,Diversified Industrials,34.1,lrg,180.03,1853757,122600.43
CVS,CVS Health Corp.,NYSE,Health Care,Pharmaceuticals,48.4,lrg,93.19,6982196,122172.094
MDT,"Medtronic, Inc.",NYSE,Health Care,Medical Equipment,22.7,lrg,90.26,4607039,119955.539
AMT,American Tower Corp.,NYSE,Real Estate,Specialty REITs,75.3,lrg,255.4,1290350,116462.398
COP,ConocoPhillips,NYSE,Energy,Integrated Oil & Gas,71,lrg,88.93,8016664,114986.492
SCHW,Charles Schwab Corp.,NYSE,Financial,Investment Services,9.8,lrg,63.13,6901335,114707.211
IBM,International Business Machines,NYSE,Technology,Computer Services,39,lrg,127.15,11975316,114307.852
AXP,American Express Co.,NYSE,Financial,Consumer Finance,48.6,lrg,150.18,4682956,113085.531
GS,"Goldman Sachs Group, Inc.",NYSE,Financial,Investment Services,76.5,lrg,326.54,2518822,112003.227
ELV,"Elevance Health, Inc.",NYSE,Health Care,Health Care Providers,63.8,lrg,461.94,1547210,111327.539
LMT,Lockheed Martin Corp.,NYSE,Industrial,Defense,62.5,lrg,395.2,941017,105123.203
C,"Citigroup, Inc.",NYSE,Financial,Banks,47.8,lrg,52.59,18261921,102129.781
NFLX,"Netflix, Inc.",NASD,Communication Services,Internet,2.7,lrg,223.88,23429817,99402.719
BLK,"Blackrock, Inc.",NYSE,Financial,Asset Managers,23.2,lrg,639.31,722028,97175.117
DE,Deere & Co.,NYSE,Industrial,Commercial Vehicles,27.1,lrg,316.54,1223317,96861.242
CAT,"Caterpillar, Inc.",NYSE,Industrial,Commercial Vehicles,20.9,lrg,180.99,2214438,96467.672
PYPL,"PayPal Holdings, Inc.",NASD,Technology,Computer Services,1.2,lrg,82.75,17900286,95824.5
SBUX,Starbucks Corp.,NASD,Consumer Discretionary,Restaurants & Bars,60.2,lrg,83.54,7695295,95820.383
BA,Boeing Co.,NYSE,Industrial,Aerospace,41,lrg,161.41,8043887,95554.719
PLD,"ProLogis, Inc.",NYSE,Real Estate,Industrial & Office REITs,33.5,lrg,125.68,3093862,94134.32
EL,Estee Lauder Cos.,NYSE,Consumer Staples,Personal Products,46.9,lrg,262.57,1239034,93737.492
NOW,"ServiceNow, Inc.",NYSE,Technology,Software,29.9,lrg,460.29,2047811,92058
ADP,"Automatic Data Processing, Inc.",NASD,Technology,Software,74.3,lrg,218.09,2369018,91161.617
AMAT,"Applied Materials, Inc.",NASD,Technology,Semiconductors,23.6,lrg,103.84,5463760,90340.797
ADI,"Analog Devices, Inc.",NASD,Technology,Semiconductors,88.1,lrg,165.19,2990799,85898.805
ZTS,Zoetis Inc.,NYSE,Health Care,Pharmaceuticals,61.9,lrg,180.6,1878432,85062.602
MDLZ,"Mondelez International, Inc.",NASD,Consumer Staples,Food Products,49.1,lrg,61.35,4398730,84908.398
CI,CIGNA Corp.,NYSE,Health Care,Health Care Providers,89.2,lrg,266.35,1705941,84432.953
CHTR,Charter Communications Inc.,NASD,Communication Services,Entertainment,36.3,lrg,492.74,1820798,82780.32
ISRG,"Intuitive Surgical, Inc.",NASD,Health Care,Medical Equipment,23.7,lrg,224.75,2876920,80685.25
DUK,Duke Energy Corp.,NYSE,Utilities,Multiutilities,66,lrg,103.54,3085414,79725.797
MMC,Marsh and McLennan Co.,NYSE,Financial,Insurance Brokers,75.2,lrg,158.12,3059218,79376.234
CB,Chubb Ltd.,NYSE,Financial,Property-Casualty Insurance,37.4,lrg,184.01,2187254,78020.234
MO,Altria Group Inc.,NYSE,Consumer Staples,Tobacco,25.9,lrg,42.77,7046127,77456.469
GILD,"Gilead Sciences, Inc.",NASD,Health Care,Biotechnology,42.5,lrg,61.01,6007658,76506.539
MMM,3M Co.,NYSE,Industrial,Diversified Industrials,18.1,lrg,133.95,1668953,76217.547
SYK,Stryker Corp.,NYSE,Health Care,Medical Equipment,12.7,lrg,200.24,1420902,75690.719
SO,Southern Co.,NYSE,Utilities,Conventional Electricity,77.7,lrg,70.85,3434240,75313.547
GE,General Electric Co.,NYSE,Industrial,Diversified Industrials,9.3,lrg,68.13,5950697,75011.125
BKNG,Booking Holdings Inc.,NASD,Consumer Discretionary,Travel & Tourism,10.2,lrg,1829.41,337871,75005.812
CCI,Crown Castle Intl Corp.,NYSE,Real Estate,Diversified REITs,58.8,lrg,173.01,1563767,74913.328
TJX,"TJX Cos., Inc.",NYSE,Consumer Discretionary,Apparel Retailers,76,lrg,63.74,2966157,74703.281
CME,CME Group Inc.,NASD,Financial,Investment Services,41.6,lrg,205.79,1036476,73878.609
TGT,Target Corp.,NYSE,Consumer Discretionary,Broadline Retailers,12,lrg,158.66,3105225,73618.242
VRTX,Vertex Pharmaceuticals Inc.,NASD,Health Care,Biotechnology,96.1,lrg,283.11,1040048,72476.156
USB,US Bancorp,NYSE,Financial,Banks,30.6,lrg,47.61,6617238,70748.461
NOC,Northrop Grumman Corp.,NYSE,Industrial,Defense,87.2,lrg,453.8,528495,70339
MU,"Micron Technology, Inc.",NASD,Technology,Semiconductors,21.6,lrg,63.64,12924682,70194.922
BDX,Becton Dickinson and Co.,NYSE,Health Care,Medical Supplies,50.3,lrg,241.08,991715,68707.797
CSX,CSX Corp.,NASD,Industrial,Railroad,51,lrg,30.99,26968661,67372.258
MRNA,Moderna Inc.,NASD,Health Care,Pharmaceuticals,79.1,lrg,168.89,2518414,67218.219
PNC,PNC Financial Services Gr,NYSE,Financial,Banks,25.6,lrg,161.61,1547486,66906.539
SHW,Sherwin Williams Co.,NYSE,Materials,Specialty Chemicals,57.9,lrg,256.59,1086989,66713.398
LRCX,Lam Research Corp.,NASD,Technology,Semiconductors,35.1,lrg,476.13,1381153,66182.07
REGN,"Regeneron Pharmaceuticals, Inc.",NASD,Health Care,Biotechnology,46.1,lrg,592.44,638717,65168.398
PGR,Progressive Corp.,NYSE,Financial,Property-Casualty Insurance,71.9,lrg,111.29,3277394,65104.652
EW,Edwards Lifesciences Corp.,NYSE,Health Care,Medical Supplies,67.9,lrg,103.77,2569410,64544.938
WM,"Waste Management, Inc.",NYSE,Industrial,Waste & Disposal Services,77.4,lrg,155.25,1371201,64428.75
TFC,Truist Financial Corporation,NYSE,Financial,Banks,21.2,lrg,48.35,5015503,64353.848
FISV,"Fiserv, Inc.",NASD,Technology,Software,69.8,lrg,99.18,2444157,64070.281
CL,Colgate-Palmolive Co.,NYSE,Consumer Staples,Personal Products,43.6,lrg,76.16,4054376,63822.082
D,"Dominion Energy, Inc.",NYSE,Utilities,Conventional Electricity,45.9,lrg,75.96,3262029,63122.758
ATVI,Activision Blizzard Inc.,NASD,Communication Services,Internet,73.8,lrg,79.49,3479896,62161.18
HUM,"Humana, Inc.",NYSE,Health Care,Health Care Providers,97.2,lrg,485.7,708942,61198.203
EOG,"EOG Resources, Inc.",NYSE,Energy,Exploration & Production,60.3,lrg,103.56,4264155,60686.16
GD,General Dynamics Corp.,NYSE,Industrial,Defense,73.1,lrg,216.89,611437,60295.418
FIS,"Fidelity National Information Services, Inc.",NYSE,Technology,Software,46.4,lrg,98.91,2091600,60137.281
AON,Aon Corp.,NYSE,Financial,Insurance Brokers,79.2,lrg,280.67,888523,59502.043
ITW,"Illinois Tool Works, Inc.",NYSE,Industrial,Industrial Machinery,29.5,lrg,190.69,619233,59304.59
EQIX,"Equinix, Inc.",NASD,Real Estate,Diversified REITs,33.7,lrg,650.19,354407,59167.289
FDX,FedEx Corp.,NYSE,Industrial,Delivery Services,55.9,lrg,227.66,1006528,58963.941
OXY,Occidental Petroleum Corp.,NYSE,Energy,Exploration & Production,99.6,lrg,62,16640469,58094
NSC,Norfolk Southern Corp.,NYSE,Industrial,Railroad,52.8,lrg,242.11,1455125,57622.18
PSA,"Public Storage, Inc.",NYSE,Real Estate,Specialty REITs,50.2,lrg,319.28,495127,56193.281
DG,Dollar General Corp.,NYSE,Consumer Discretionary,Specialty Retailers,92.3,lrg,246.94,1515118,56055.379
ICE,"IntercontinentalExchange Group, Inc.",NYSE,Financial,Investment Services,22.3,lrg,99.47,2800946,55504.262
ETN,Eaton Corp.,NYSE,Industrial,Diversified Industrials,50.1,lrg,137.34,2001203,54798.66
MCO,Moody's Corp.,NYSE,Financial,Specialty Finance,48.2,lrg,295.95,652596,54750.754
BSX,Boston Scientific Corp.,NYSE,Health Care,Medical Equipment,34.9,lrg,38.12,11814803,54511.598
KLAC,KLA Corp.,NASD,Technology,Semiconductors,81.4,lrg,360.54,1243992,53720.461
HCA,"HCA Healthcare, Inc.",NYSE,Health Care,Health Care Providers,11.3,lrg,181.31,1837426,53486.449
CNC,Centene Corp.,NYSE,Health Care,Health Care Providers,95.1,lrg,90.51,2773299,52948.352
F,Ford Motor Co.,NYSE,Consumer Discretionary,Automobiles,12.3,lrg,13,66949187,52260
APD,"Air Products and Chemicals, Inc.",NYSE,Materials,Commodity Chemicals,25.8,lrg,234.59,853556,52078.98
SNPS,"Synopsys, Inc.",NASD,Technology,Software,94.5,lrg,338.66,774230,51814.98
PXD,Pioneer Natural Resources Co.,NYSE,Energy,Exploration & Production,57.7,lrg,213.28,1569103,51613.758
KDP,Keurig Dr Pepper Inc.,NASD,Consumer Staples,Soft Drinks,66.9,lrg,36.28,7490732,51481.316
GM,General Motors Co.,NYSE,Consumer Discretionary,Automobiles,8.1,lrg,35.13,10857423,51219.543
MNST,Monster Beverage Corp.,NASD,Consumer Staples,Soft Drinks,90.1,lrg,95.77,2273749,50758.098
EMR,Emerson Electric Co.,NYSE,Industrial,Diversified Industrials,47.6,lrg,83.7,2042133,49717.797
MET,"Metlife, Inc.",NYSE,Financial,Life Insurance,42.9,lrg,61.11,3741515,49682.43
FTNT,Fortinet Inc.,NASD,Technology,Software,83.7,lrg,61.86,3901045,49673.582
MAR,"Marriott International, Inc.",NASD,Consumer Discretionary,Hotels,65.4,lrg,151,1777393,49377
SRE,Sempra Energy,NYSE,Utilities,Multiutilities,90.7,lrg,153.49,1325051,48195.863
AEP,"American Elec Pwr Co., Inc.",NYSE,Utilities,Conventional Electricity,70.4,lrg,92.79,2061642,47694.059
SLB,Schlumberger Ltd.,NYSE,Energy,Oil Equipment & Services,21.4,lrg,33.63,14582959,47519.191
NXPI,NXP Semiconductor N.V.,NASD,Technology,Semiconductors,72.9,lrg,179.95,2215804,47326.848
MCK,McKesson Corp.,NYSE,Health Care,Pharmaceuticals,98,lrg,327.81,734779,47204.641
MPC,Marathon Petroleum Corp.,NYSE,Energy,Integrated Oil & Gas,91.1,lrg,86.45,4713675,46769.449
ECL,"Ecolab, Inc.",NYSE,Materials,Specialty Chemicals,24.7,lrg,163.34,1018739,46715.238
CDNS,"Cadence Design Systems, Inc.",NASD,Technology,Software,95.4,lrg,168.75,1409179,46575
KHC,Kraft Heinz Co.,NASD,Consumer Staples,Food Products,71.5,lrg,37.95,4666060,46450.801
ORLY,"O'Reilly Automotive, Inc.",NASD,Consumer Discretionary,Specialty Retailers,90,lrg,685.86,475940,45266.758
COF,Capital One Fncl Corp.,NYSE,Financial,Consumer Finance,20.4,lrg,114.27,3507755,44908.109
HSY,Hershey Foods Corp.,NYSE,Consumer Staples,Food Products,83.3,lrg,215.91,720450,44477.461
SYY,Sysco Corp.,NYSE,Consumer Staples,Food Retailers,91.5,lrg,86.92,2569804,44242.277
STZ,"Constellation Brands, Inc.",NYSE,Consumer Staples,Distillers & Vintners,71.6,lrg,242.28,813201,44094.961
PAYX,"Paychex, Inc.",NASD,Technology,Software,78.5,lrg,122.05,1429799,44060.051
KMB,Kimberly Clark Corp.,NYSE,Consumer Staples,Nondurable Home Products,53,lrg,130.55,1487536,43995.352
ROP,"Roper Technologies, Inc.",NYSE,Technology,Software,58.1,lrg,412.73,412130,43749.383
GIS,General Mills Inc.,NYSE,Consumer Staples,Food Products,88.4,lrg,73.1,3215471,43640.699
LHX,L3Harris Technologies Inc.,NYSE,Industrial,Defense,55.3,lrg,224.09,1067579,43249.371
ADSK,"Autodesk, Inc.",NASD,Technology,Software,40.2,lrg,199.1,1304644,43204.703
IQV,"Iqvia Holdings, Inc.",NYSE,Health Care,Health Care Providers,69.5,lrg,225.63,1639506,42644.07
VLO,Valero Energy Corp,NYSE,Energy,Exploration & Production,91.3,lrg,104.15,4933822,42493.199
O,Realty Income Corp.,NYSE,Real Estate,Retail REITs,86.5,lrg,70.58,1843372,42489.16
EXC,Exelon Corp.,NASD,Utilities,Conventional Electricity,76.1,lrg,43.26,6199937,42394.797
FCX,"Freeport-McMoRan, Inc.",NYSE,Materials,Nonferrous Metals,3.2,lrg,28.91,27565727,41890.59
APH,Amphenol Corp.,NYSE,Technology,Electrical Components,64.2,lrg,69.95,1507673,41760.148
ADM,Archer Daniels Midland Co.,NYSE,Consumer Staples,Food Products,65.2,lrg,74.02,1548206,41673.258
RSG,"Republic Services, Inc.",NYSE,Industrial,Waste & Disposal Services,78.8,lrg,131.24,697420,41471.84
NEM,Newmont Corporation,NYSE,Materials,Gold Mining,4.7,lrg,52.09,13185801,41359.461
PSX,Phillips 66,NYSE,Energy,Integrated Oil & Gas,64.6,lrg,85.21,3628248,40986.008
AIG,"American Intl Group, Inc.",NYSE,Financial,Full Line Insurance,32.2,lrg,51.63,2740520,40890.961
CTAS,Cintas Corp.,NASD,Industrial,Business Support Services,87.3,lrg,399.99,470990,40798.98
AZO,Autozone Inc. Nevada,NYSE,Consumer Discretionary,Specialty Retailers,88.2,lrg,2138.75,247321,40636.25
TEL,TE Connectivity Ltd.,NYSE,Technology,Electrical Components,42.8,lrg,124.82,1300469,40192.039
KMI,Kinder Morgan Inc.,NYSE,Energy,Pipelines,79.3,lrg,17.66,22690582,40035.219
WMB,"Williams Cos., Inc.",NYSE,Energy,Pipelines,90.3,lrg,32.41,8081983,39475.379
CTVA,Corteva Inc.,NYSE,Materials,Specialty Chemicals,86.9,lrg,53.88,1482329,39009.121
DLTR,"Dollar Tree, Inc.",NASD,Consumer Discretionary,Specialty Retailers,99,lrg,171.68,3263437,38628
CMG,Chipotle Mexican Grill Inc.,NYSE,Consumer Discretionary,Restaurants & Bars,61.7,lrg,1368.04,317803,38305.121
A,"Agilent Technologies, Inc.",NYSE,Health Care,Medical Equipment,65.8,lrg,127.19,1682559,38029.812
TRV,"The Travelers Cos., Inc.",NYSE,Financial,Property-Casualty Insurance,37,lrg,156.83,2080777,37639.199
DOW,Dow Holdings Inc.,NYSE,Materials,Commodity Chemicals,21.3,lrg,51.4,10059729,37419.199
MSI,Motorola Solutions Inc.,NYSE,Technology,Telecom Equipment,67.6,lrg,222.22,489087,37110.738
DVN,Devon Energy Corp.,NYSE,Energy,Exploration & Production,89.6,lrg,56.2,8150354,37092
WELL,Welltower Inc.,NYSE,Real Estate,Specialty REITs,51.7,lrg,81.33,1695992,36923.82
XEL,Xcel Energy,NASD,Utilities,Conventional Electricity,59.5,lrg,67.7,3961289,36896.5
MCHP,Microchip Technology Inc.,NASD,Technology,Semiconductors,61.1,lrg,66.2,3163636,36741
EA,"Electronic Arts, Inc.",NASD,Communication Services,Internet,64.1,lrg,130.21,2306137,36328.594
MSCI,"MSCI, Inc.",NYSE,Financial,Specialty Finance,50.6,lrg,447.47,438644,36245.07
PRU,Prudential Financial Inc.,NYSE,Financial,Life Insurance,33.6,lrg,96.07,1189335,36026.25
CTSH,Cognizant Technology Solutions Corp.,NASD,Technology,Computer Services,22.1,lrg,68.98,2226920,35938.582
DLR,"Digital Realty Trust, Inc.",NYSE,Real Estate,Industrial & Office REITs,16.9,lrg,125.1,1705269,35653.5
AJG,Gallagher Arthur J & Co.,NYSE,Financial,Property-Casualty Insurance,89.9,lrg,169.6,698519,35616
AFL,"Aflac, Inc.",NYSE,Financial,Life Insurance,39.7,lrg,55.03,1824906,35439.32
JCI,Johnson Controls Intl plc,NYSE,Industrial,Building Materials,13.1,lrg,50.76,4130680,35328.957
WBD,Warner Bros. Discovery Inc.,NASD,Communication Services,Entertainment,0.8,lrg,14.51,11673794,35215.77
BK,Bank of New York Mellon Corp,NYSE,Financial,Asset Managers,15.1,lrg,43.48,2907386,35131.84
SBAC,SBA Communications Corp.,NASD,Real Estate,Specialty REITs,64.8,lrg,320.54,595917,34618.32
HPQ,HP Inc.,NYSE,Technology,Computer Hardware,52.3,lrg,33.46,6927728,34597.641
PH,Parker Hannifin Corp.,NYSE,Industrial,Industrial Machinery,54.5,lrg,268.3,588145,34342.398
SPG,"Simon Property Group, Inc.",NYSE,Real Estate,Retail REITs,16,lrg,104.24,1552690,34294.961
YUM,Yum! Brands Inc.,NYSE,Consumer Discretionary,Restaurants & Bars,74.5,lrg,120.25,1209731,34271.25
NUE,Nucor Corp.,NYSE,Materials,Steel,98.5,lrg,128.52,3425953,34186.32
BF/B,Brown-Forman Corp. - Class B,NYSE,Consumer Staples,Distillers & Vintners,84.2,lrg,71.19,860430,34100.012
RMD,"Resmed, Inc.",NYSE,Health Care,Medical Equipment,82.7,lrg,232.91,503617,34004.859
GPN,"Global Payments, Inc.",NYSE,Technology,Software,30.2,lrg,120.27,1304784,33916.141
HLT,Hilton Worldwide Holdings Inc.,NYSE,Consumer Discretionary,Hotels,33,lrg,121.97,1685049,33907.66
IDXX,"IDEXX Laboratories, Inc.",NASD,Health Care,Medical Supplies,28.5,lrg,398.35,673375,33461.402
BAX,Baxter Intl Inc.,NYSE,Health Care,Medical Supplies,14.6,lrg,66.03,2298004,33279.121
WBA,"Walgreens Boots Alliance, Inc.",NASD,Consumer Staples,Drug Retailers,10,lrg,38.46,5726808,33229.438
KR,Kroger Co.,NYSE,Consumer Staples,Food Retailers,42.6,lrg,46.28,5211772,33136.48
DXCM,DexCom Inc.,NASD,Health Care,Medical Supplies,23.3,lrg,83.99,1983037,33008.07
ANET,"Arista Networks, Inc.",NYSE,Technology,Telecom Equipment,56.1,lrg,105.95,1933496,32632.6
TDG,TransDigm Group Inc.,NYSE,Industrial,Aerospace,72.3,lrg,590.92,313075,32500.6
ILMN,"Illumina, Inc.",NASD,Health Care,Biotechnology,2,lrg,207,1305590,32499
CARR,Carrier Global Corp.,NYSE,Industrial,Building Materials,29.8,lrg,38.27,2799782,32452.961
TT,Trane Technologies Inc,NYSE,Industrial,Building Materials,34.8,lrg,138.35,1501267,32373.902
ED,"Consolidated Edison, Inc.",NYSE,Utilities,Conventional Electricity,81.6,lrg,90.82,1302118,32150.279
HES,Hess Corp.,NYSE,Energy,Integrated Oil & Gas,88.8,lrg,103.36,1953634,32144.961
ODFL,"Old Dominion Freight Line, Inc.",NASD,Industrial,Trucking,77.3,lrg,282.18,1086087,31886.34
ALL,Allstate Corp.,NYSE,Financial,Property-Casualty Insurance,31.7,lrg,115.9,4386828,31872.5
VICI,"VICI Properties, Inc.",NYSE,Real Estate,Real Estate Development,97.8,lrg,32.99,5303202,31769.371
BIIB,Biogen Inc.,NASD,Health Care,Biotechnology,49.8,lrg,214.06,1136962,31252.76
IFF,Intl Flavors & Fragrances,NYSE,Materials,Specialty Chemicals,46.8,lrg,122.33,921692,31194.15
OTIS,Otis Worldwide Corp.,NYSE,Industrial,Industrial Machinery,51.8,lrg,72.95,1520885,30857.85
WEC,"WEC Energy Group, Inc.",NYSE,Utilities,Multiutilities,63.3,lrg,96.23,1302721,30312.451
MTB,M&T Bank Corp.,NYSE,Financial,Banks,81,lrg,169.22,1547837,30290.381
LVS,Las Vegas Sands Corp.,NYSE,Consumer Discretionary,Gambling,86.4,lrg,39.52,14812611,30193.281
TWTR,"Twitter, Inc.",NYSE,Communication Services,Internet,65.7,lrg,39.52,11409617,30193.281
PEG,Public Service Enterprise,NYSE,Utilities,Conventional Electricity,29.3,lrg,59.6,2308390,29740.398
ABC,AmerisourceBergen Corp.,NYSE,Health Care,Medical Supplies,74.2,lrg,142.14,810423,29707.26
ENPH,Enphase Energy Inc.,NASD,Technology,Renewable Energy Equipment,99.4,lrg,219.78,1935485,29670.301
GLW,"Corning, Inc.",NYSE,Technology,Telecom Equipment,75.4,lrg,34.85,3876275,29448.248
CPRT,"Copart, Inc.",NASD,Industrial,Transportation Services,81.1,lrg,123.72,985362,29445.359
PCAR,"PACCAR, Inc.",NASD,Industrial,Commercial Vehicles,56.9,lrg,84.5,1096713,29406
DD,"DuPont de Nemours, Inc.",NYSE,Materials,Specialty Chemicals,11.5,lrg,57.74,1876867,29389.66
FRC,First Republic Bank San Francisco California,NYSE,Financial,Banks,75.8,lrg,162.65,1032188,29276.998
ROST,"Ross Stores, Inc.",NASD,Consumer Discretionary,Apparel Retailers,43.2,lrg,83.61,1938113,29263.5
TSN,Tyson Foods Inc Cl A,NYSE,Consumer Staples,Food Products,36.4,lrg,82.22,1251988,29188.1
VRSK,Verisk Analytics Inc.,NASD,Industrial,Business Support Services,68.1,lrg,184.71,557511,29184.182
CMI,Cummins Inc.,NYSE,Industrial,Commercial Vehicles,62.1,lrg,206.13,649559,29064.33
PPG,"PPG Industries, Inc.",NYSE,Materials,Specialty Chemicals,27,lrg,122.95,1797747,29016.199
NDAQ,Nasdaq OMX Group Inc.,NASD,Financial,Investment Services,87,lrg,174,1239982,28710
ES,Eversource Energy,NYSE,Utilities,Conventional Electricity,54.8,lrg,83.02,1263933,28641.898
LYB,LyondellBasell Industries NV,NYSE,Materials,Commodity Chemicals,42.1,lrg,87.02,2760494,28542.559
MTD,"Mettler Toledo Intl, Inc.",NYSE,Health Care,Medical Equipment,45.1,lrg,1240.29,125064,28526.672
